sku,total_qty,unique_orders,total_revenue
MASAMIX5-OR10X-BL5X-CO5X,8.0,8,1650.0
MASALI5-6X,7.0,7,848.45
VANDOR5-40X,7.0,7,2682.74
MASAWH5-2X,7.0,6,0.0
MASAMIX5-OR4X-LI4X-CO4X,6.0,6,815.77
MASACHR5-12X,6.0,6,957.0
VANDMIX5-OR5X-HD5X-FO5X-SH5X,6.0,6,827.4
MASACHR5-20X,6.0,6,1545.55
1910763_12431,6.0,6,272.41
MASAMIX5-OR6X-VANDMIX5-OR4X,6.0,6,615.23
1910763_12433,5.0,5,-89.58000000000001
VANDFO5-2X,5.0,3,0.0
VANDHD5-20X,5.0,4,1205.9
VANDHD5-12X,5.0,5,346.15
MASAMIX5-OR20X-VANDMIX5-OR20X,5.0,5,1618.32
MASAMIX5-OR8X-LI8X-CO8X-BL8X-CHR8X,5.0,5,2377.2799999999997
MASAMIX5-OR4X-BL4X-CO4X,5.0,5,648.64
MASAMIX5-OR20X-BL10X-CO10X,4.0,4,1320.0
MASAOR2-16X,4.0,4,342.61
VANDMIX5-OR1X-HD1X-FO1X-SH1X,3.0,3,0.0
VANDHD5-4X,3.0,3,100.8
1910763_12429,3.0,3,158.49
VANDSH5-8X,3.0,3,99.89
MASAOR5-40X,3.0,3,-225.89
MASACO5-40X,3.0,3,1114.1100000000001
MASALI5-8X,3.0,3,347.28
MASAMIX5-OR2X-LI2X-CO2X-BL2X-CHR2X-VANDMIX5-OR2X,3.0,2,240.0
1910763_17424,3.0,3,105.49000000000001
MASABL5-2X,3.0,3,21.75
1910763_12432,2.0,2,21.75
1910763_12430,2.0,2,93.82
VANDMIX5-OR7X-MASAMIX5-OR3X,2.0,2,-28.0
MASACO5-20X,2.0,2,525.8
MASABL5-8X,2.0,2,184.82
VANDFO5-12X,2.0,2,246.45
MASALI5-2X,2.0,2,54.56
MASACHR5-8X,2.0,2,274.4
MASAMIX5-OR6X-CO2X-LI2X,2.0,2,221.53
MASABL12-8X,2.0,2,326.0
1910763_17412,2.0,2,44.75
MASAOR2-40X,2.0,1,351.37
1910763_17136,1.0,1,54.3
1910763_17413,1.0,1,40.0
VANDOR5-10X,1.0,1,130.0
MASABL5-40X,1.0,1,0.0
MASACHR5-2X,1.0,1,0.0
MASACHR5-40X,1.0,1,340.0
VANDSH5-20X,1.0,1,224.0
MASASWIM-ONEPIECE-LR-M,1.0,1,421.08
MASACO5-2X,1.0,1,0.0
VANDMIX5-OR6X-MASAMIX5-BL2X-OR2X,1.0,1,130.0
MASASWIM-ONEPIECE-BL-XL,1.0,1,171.04
MASAHG5-6X,1.0,1,79.0
VANDHD5-8X,1.0,1,103.81
MASAMIX5-OR6X-LI2X-BL2X,1.0,1,60.0
VANDHD5-40X,1.0,1,356.91
MASAOR2-8X,1.0,1,49.08
MASAOR5-2X,1.0,1,0.0
VANDFO5-4X,1.0,1,56.0
MASASWIM-BIKINI-CH-M,1.0,1,421.08
VANDFO5-20X,1.0,1,358.5
VANDMIX5-OR5X-MASAMIX5-OR3X,1.0,1,104.0
